Years,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,y
1960,3985661717529.84,8857.00,790006480553.99,2127.00,26295.00,36161.00,31252.00,12905.00,408739.00,385761.00,8889.00,6024060827807.60,393950147075.88,6128.00,293837064043.05,495391527474.16,7370436294187.46
1961,3989017941357.00,9367.00,857469124942.88,2431.00,27219.00,38495.00,32596.00,13731.00,420953.00,396844.00,8938.00,6126761177281.69,423982005989.73,5204.00,293290899648.73,447061619963.54,7644818660956.60
1962,3909672432399.64,10479.00,919887833302.69,2730.00,28233.00,40527.00,33693.00,15510.00,429594.00,404119.00,8901.00,6206577425673.74,511559938963.34,4508.00,291590307387.33,464538221659.75,7868898061145.26
1963,4001129531689.80,10789.00,1006895729804.25,3227.00,31680.00,43489.00,34735.00,17242.00,451446.00,424527.00,9149.00,6437464497615.20,628618037771.25,3680.00,316095783962.16,480295306194.62,8340587608674.43
1964,4370204710596.29,10945.00,1076520061062.74,3523.00,34225.00,46693.00,35688.00,19093.00,485193.00,456327.00,9627.00,6822024665017.31,656720472995.86,6218.00,295511469528.17,496528052096.26,8962207443058.18
1965,3887638093360.45,12231.00,1086517862834.66,3892.00,36509.00,46981.00,36766.00,19773.00,467155.00,436650.00,9003.00,6828063525025.07,720379534331.84,4695.00,254541237909.85,441630878919.53,8725984258090.98
1966,3832333361599.82,12519.00,1095074540026.84,4232.00,39510.00,48143.00,37412.00,21032.00,472024.00,439345.00,8876.00,6916799010731.22,732742574176.48,6621.00,320315615756.40,568035687005.87,8721156278345.29
1967,4402234759729.42,12899.00,1099307843479.81,4700.00,42352.00,49880.00,38431.00,21962.00,509965.00,475052.00,9388.00,7308113166299.90,752510744991.99,5590.00,336190891751.44,545634529105.08,9403670744505.93
1968,4395266947218.68,13264.00,1160195356973.66,5305.00,43834.00,52041.00,40305.00,23326.00,523558.00,486775.00,9397.00,7500085347599.24,791990808736.41,1435.00,346740699023.86,467276084638.83,9722260449274.30
1969,4677773439800.66,13919.00,1284672492548.35,5782.00,45196.00,54851.00,41980.00,25361.00,557652.00,518434.00,9800.00,7778647630128.29,866841354808.87,7245.00,340020849327.68,406366015817.57,10358067144680.60
1970,5009528868976.86,12965.00,1314846038436.57,6141.00,45096.00,57795.00,43735.00,27501.00,585672.00,541867.00,10016.00,8042808026125.67,949114413692.38,8631.00,447324004508.29,479166324285.21,10892256463549.50
1971,4915481640428.78,13308.00,1357809564969.95,6640.00,45293.00,58908.00,45989.00,29425.00,591703.00,545976.00,9855.00,8199301904879.42,1042144563931.35,11455.00,452030019474.44,565552745973.83,11071208654480.10
1972,4668799189132.38,14094.00,1411041104133.94,6947.00,46357.00,59101.00,47767.00,30498.00,590138.00,542686.00,9571.00,8254227720410.54,1052133186254.19,3242.00,489267594528.12,554872770402.78,11009951511698.80
1973,5005041743642.72,14271.00,1473820093638.69,7102.00,43345.00,61626.00,48936.00,31989.00,617498.00,567937.00,9792.00,8456787771394.54,1050656016081.23,11795.00,513552175689.92,599679278899.72,11372786790744.70
1974,4928797093656.10,14979.00,1516783620172.07,7424.00,41966.00,64485.00,48779.00,33233.00,625437.00,572741.00,9658.00,8450411211978.45,1011403829333.06,14863.00,555662413121.86,523171681311.52,11507592556386.60
